time,open,high,low,close,Volume,Volume MA
2018-10-29T22:00:00Z,0.7172,0.7172,0.7172,0.7172,0,0
2018-10-30T22:00:00Z,0.7145,0.7145,0.7145,0.7145,0,0
2018-10-31T22:00:00Z,0.7277,0.7277,0.7277,0.7277,0,0
2018-11-01T22:00:00Z,0.7261,0.7261,0.7261,0.7261,0,0
2018-11-04T23:00:00Z,0.7286,0.7286,0.7286,0.7286,0,0
2018-11-05T23:00:00Z,0.7285,0.7285,0.7285,0.7285,0,0
2018-11-06T23:00:00Z,0.7357,0.7357,0.7357,0.7357,0,0
2018-11-07T23:00:00Z,0.732,0.732,0.732,0.732,0,0
2018-11-08T23:00:00Z,0.7297,0.7297,0.7297,0.7297,0,0
2018-11-11T23:00:00Z,0.7256,0.7256,0.7256,0.7256,0,0
2018-11-12T23:00:00Z,0.727,0.727,0.727,0.727,0,0
2018-11-13T23:00:00Z,0.7311,0.7311,0.7311,0.7311,0,0
2018-11-14T23:00:00Z,0.7357,0.7357,0.7357,0.7357,0,0
2018-11-15T23:00:00Z,0.7393,0.7393,0.7393,0.7393,0,0
2018-11-18T23:00:00Z,0.7348,0.7348,0.7348,0.7348,0,0
2018-11-19T23:00:00Z,0.7279,0.7279,0.7279,0.7279,0,0
2018-11-20T23:00:00Z,0.7324,0.7324,0.7324,0.7324,0,0
2018-11-22T23:00:00Z,0.7295,0.7295,0.7295,0.7295,0,0
2018-11-25T23:00:00Z,0.7295,0.7295,0.7295,0.7295,0,0
2018-11-26T23:00:00Z,0.729,0.729,0.729,0.729,0,0
2018-11-27T23:00:00Z,0.7379,0.7379,0.7379,0.7379,0,0
2018-11-28T23:00:00Z,0.7384,0.7384,0.7384,0.7384,0,0
2018-11-29T23:00:00Z,0.7369,0.7369,0.7369,0.7369,0,0
2018-12-02T23:00:00Z,0.7417,0.7417,0.7417,0.7417,0,0
2018-12-03T23:00:00Z,0.7405,0.7405,0.7405,0.7405,0,0
2018-12-04T23:00:00Z,0.7332,0.7332,0.7332,0.7332,0,0
2018-12-05T23:00:00Z,0.7286,0.7286,0.7286,0.7286,0,0
2018-12-06T23:00:00Z,0.7271,0.7271,0.7271,0.7271,0,0
2018-12-09T23:00:00Z,0.7245,0.7245,0.7245,0.7245,0,0
2018-12-10T23:00:00Z,0.7263,0.7263,0.7263,0.7263,5,0.25
2018-12-11T23:00:00Z,0.7335,0.7335,0.7273,0.7273,5,0.5
2018-12-12T23:00:00Z,0.7278,0.7278,0.7278,0.7278,0,0.5
2018-12-13T23:00:00Z,0.7231,0.7231,0.7231,0.7231,0,0.5
2018-12-16T23:00:00Z,0.723,0.723,0.723,0.723,0,0.5
