Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,245.60020446777344,255.6699981689453,257.9100036621094,253.9199981689453,257.7699890136719,2258300
2018-01-03,243.31394958496094,253.2899932861328,256.1400146484375,253.22000122070312,255.47999572753906,2988200
2018-01-04,246.71453857421875,256.8299865722656,259.7200012207031,254.32000732421875,255.22999572753906,2583200
2018-01-05,245.45611572265625,255.52000427246094,257.489990234375,253.69000244140625,257.17999267578125,2594700
2018-01-08,241.89222717285156,251.80999755859375,255.17999267578125,251.6199951171875,254.75,2940500
2018-01-09,243.93836975097656,253.94000244140625,255.60000610351562,252.6199951171875,252.8000030517578,2637300
2018-01-10,244.31298828125,254.3300018310547,255.14999389648438,252.35000610351562,255.0,2927200
2018-01-11,245.08148193359375,255.1300048828125,255.88999938964844,252.97000122070312,255.75,2422400
2018-01-12,246.9066619873047,257.0299987792969,257.29998779296875,254.08999633789062,255.75,2849200
2018-01-16,248.2803192138672,258.4599914550781,261.7699890136719,256.3999938964844,259.25,4445500
2018-01-17,243.65977478027344,253.64999389648438,262.0,248.83999633789062,260.9800109863281,8608100
2018-01-18,241.0853271484375,250.97000122070312,254.5399932861328,250.60000610351562,254.49000549316406,4984500
2018-01-19,246.032470703125,256.1199951171875,256.1400146484375,250.25999450683594,251.0,4643400
2018-01-22,251.21981811523438,261.5199890136719,262.8699951171875,255.19000244140625,255.4499969482422,5264700
2018-01-23,249.84613037109375,260.0899963378906,260.260009765625,256.8500061035156,258.0,4003600
2018-01-24,255.21592712402344,265.67999267578125,265.7799987792969,260.29998779296875,260.739990234375,4314000
2018-01-25,258.4339599609375,269.0299987792969,270.5,265.010009765625,266.3500061035156,5055000
2018-01-26,257.5790710449219,268.1400146484375,269.0,266.04998779296875,267.489990234375,3535400
2018-01-29,261.7481384277344,272.4800109863281,273.7900085449219,268.80999755859375,269.0400085449219,3881100
2018-01-30,258.3475341796875,268.94000244140625,272.0,267.1099853515625,270.3900146484375,3970400
2018-01-31,257.3389587402344,267.8900146484375,270.0,266.3299865722656,268.54998779296875,3710200
2018-02-01,261.5079650878906,272.2300109863281,272.5899963378906,266.0,266.1499938964844,3388200
