time,open,high,low,close,Volume,Volume MA,ATR
2013-08-11T22:00:00Z,0.8294,0.8294,0.8294,0.8294,0,NaN,NaN
2013-08-12T22:00:00Z,0.8273,0.8273,0.8273,0.8273,0,NaN,NaN
2013-08-13T22:00:00Z,0.8287,0.8287,0.8287,0.8287,0,NaN,NaN
2013-08-14T22:00:00Z,0.8276,0.8276,0.8276,0.8276,0,NaN,NaN
2013-08-15T22:00:00Z,0.8343,0.8343,0.8343,0.8343,0,NaN,NaN
2013-08-18T22:00:00Z,0.8265,0.8265,0.8265,0.8265,0,NaN,NaN
2013-08-19T22:00:00Z,0.824,0.824,0.824,0.824,0,NaN,NaN
2013-08-20T22:00:00Z,0.8176,0.8176,0.8176,0.8176,0,NaN,NaN
2013-08-21T22:00:00Z,0.8187,0.8187,0.8187,0.8187,0,NaN,NaN
2013-08-22T22:00:00Z,0.8217,0.8217,0.8217,0.8217,0,NaN,NaN
2013-08-25T22:00:00Z,0.8203,0.8203,0.8203,0.8203,0,NaN,NaN
2013-08-26T22:00:00Z,0.8162,0.8162,0.8162,0.8162,0,NaN,NaN
2013-08-27T22:00:00Z,0.8143,0.8143,0.8143,0.8143,0,NaN,NaN
2013-08-28T22:00:00Z,0.8138,0.8138,0.8138,0.8138,0,NaN,0.0028571428571428597
2013-08-29T22:00:00Z,0.811,0.811,0.811,0.811,0,NaN,0.0028530612244897923
2013-09-02T22:00:00Z,0.821,0.821,0.821,0.821,0,NaN,0.0033635568513119426
2013-09-03T22:00:00Z,0.8298,0.8298,0.8298,0.8298,0,NaN,0.0037518742190753773
2013-09-04T22:00:00Z,0.8274,0.8274,0.8274,0.8274,0,NaN,0.0036553117748557044
2013-09-05T22:00:00Z,0.8336,0.8336,0.8336,0.8336,0,NaN,0.0038370752195088674
2013-09-08T22:00:00Z,0.8363,0.8363,0.8363,0.8363,0,0,0.003755855560972522
2013-09-09T22:00:00Z,0.8423,0.8423,0.8423,0.8423,0,0,0.003916151592331628
2013-09-10T22:00:00Z,0.8445,0.8445,0.8445,0.8445,0,0,0.0037935693357365103
2013-09-11T22:00:00Z,0.8396,0.8396,0.8396,0.8396,0,0,0.0038726000974696182
2013-09-12T22:00:00Z,0.8391,0.8391,0.8391,0.8391,0,0,0.0036317000905075067
2013-09-15T22:00:00Z,0.8401,0.8401,0.8401,0.8401,0,0,0.0034437215126141138
2013-09-16T22:00:00Z,0.8447,0.8447,0.8447,0.8447,0,0,0.0035263128331416804
2013-09-17T22:00:00Z,0.8594,0.8594,0.8594,0.8594,0,0,0.004324433345060135
2013-09-18T22:00:00Z,0.8512,0.8512,0.8512,0.8512,0,0,0.004601259534698704
2013-09-19T22:00:00Z,0.8487,0.8487,0.8487,0.8487,0,0,0.004451169567934507
2013-09-22T22:00:00Z,0.8525,0.8525,0.8525,0.8525,0,0,0.004404657455939187
2013-09-23T22:00:00Z,0.8474,0.8474,0.8474,0.8474,0,0,0.004454324780514959
2013-09-24T22:00:00Z,0.8455,0.8455,0.8455,0.8455,0,0,0.004271873010478177
2013-09-25T22:00:00Z,0.8462,0.8462,0.8462,0.8462,0,0,0.004016739224015445
2013-09-26T22:00:00Z,0.8415,0.8415,0.8415,0.8415,0,0,0.004065543565157194
2013-09-29T22:00:00Z,0.8423,0.8423,0.8423,0.8423,0,0,0.0038322904533602533
2013-09-30T22:00:00Z,0.8467,0.8467,0.8467,0.8467,0,0,0.0038728411352630895
2013-10-01T22:00:00Z,0.8457,0.8457,0.8457,0.8457,0,0,0.0036676381970300116
2013-10-02T22:00:00Z,0.8463,0.8463,0.8463,0.8463,0,0,0.0034485211829564425
2013-10-03T22:00:00Z,0.8487,0.8487,0.8487,0.8487,0,0,0.003373626812745265
2013-10-06T22:00:00Z,0.8495,0.8495,0.8495,0.8495,0,0,0.003189796326120605
2013-10-07T22:00:00Z,0.8464,0.8464,0.8464,0.8464,0,0,0.0031833823028262756
2013-10-08T22:00:00Z,0.8477,0.8477,0.8477,0.8477,0,0,0.003048854995481539
2013-10-09T22:00:00Z,0.849,0.849,0.849,0.849,0,0,0.0029239367815185697
2013-10-10T22:00:00Z,0.8492,0.8492,0.8492,0.8492,0,0,0.0027293698685529563
2013-10-13T22:00:00Z,0.8498,0.8498,0.8498,0.8498,0,0,0.002577272020799177
2013-10-14T22:00:00Z,0.8501,0.8501,0.8501,0.8501,0,0,0.002414609733599233
2013-10-15T22:00:00Z,0.8541,0.8541,0.8541,0.8541,0,0,0.0025278518954850024
2013-10-16T22:00:00Z,0.863,0.863,0.863,0.863,0,0,0.002983005331521789
2013-10-17T22:00:00Z,0.8648,0.8648,0.8648,0.8648,0,0,0.0028985049506988062
2013-10-20T22:00:00Z,0.8639,0.8639,0.8639,0.8639,0,0,0.002755754597077464
2013-10-21T22:00:00Z,0.8696,0.8696,0.8696,0.8696,0,0,0.0029660578401433622
2013-10-22T22:00:00Z,0.8612,0.8612,0.8612,0.8612,0,0,0.0033541965658474135
2013-10-23T22:00:00Z,0.861,0.861,0.861,0.861,0,0,0.003128896811144025
2013-10-24T22:00:00Z,0.8593,0.8593,0.8593,0.8593,0,0,0.0030268327532051685
2013-10-27T22:00:00Z,0.8597,0.8597,0.8597,0.8597,0,0,0.0028392018422619472
2013-10-28T22:00:00Z,0.8522,0.8522,0.8522,0.8522,0,0,0.0031721159963860983
2013-10-29T22:00:00Z,0.8505,0.8505,0.8505,0.8505,0,0,0.003066964853787086
2013-10-30T22:00:00Z,0.849,0.849,0.849,0.849,0,0,0.0029550387928022983
2013-10-31T22:00:00Z,0.8469,0.8469,0.8469,0.8469,0,0,0.002893964593316419
2013-11-03T23:00:00Z,0.8512,0.8512,0.8512,0.8512,0,0,0.0029943956937938158
2013-11-04T23:00:00Z,0.8497,0.8497,0.8497,0.8497,0,0,0.002887653144237111
2013-11-05T23:00:00Z,0.8517,0.8517,0.8517,0.8517,0,0,0.002824249348220175
2013-11-06T23:00:00Z,0.8457,0.8457,0.8457,0.8457,0,0,0.0030510886804901625
2013-11-07T23:00:00Z,0.8397,0.8397,0.8397,0.8397,0,0,0.003261725203312294
2013-11-10T23:00:00Z,0.8369,0.8369,0.8369,0.8369,0,0,0.0032287448316471318
2013-11-11T23:00:00Z,0.8341,0.8341,0.8341,0.8341,0,0,0.0031981202008151957
2013-11-12T23:00:00Z,0.8345,0.8345,0.8345,0.8345,0,0,0.0029982544721855434
2013-11-13T23:00:00Z,0.8351,0.8351,0.8351,0.8351,0,0,0.0028269505813151427
2013-11-14T23:00:00Z,0.84,0.84,0.84,0.84,0,0,0.0029750255397926334
2013-11-17T23:00:00Z,0.8395,0.8395,0.8395,0.8395,0,0,0.002798238001236013
2013-11-18T23:00:00Z,0.8428,0.8428,0.8428,0.8428,0,0,0.002834078144004867
2013-11-19T23:00:00Z,0.8342,0.8342,0.8342,0.8342,0,0,0.003245929705147372
2013-11-20T23:00:00Z,0.8247,0.8247,0.8247,0.8247,0,0,0.003692649011922564
2013-11-21T23:00:00Z,0.8202,0.8202,0.8202,0.8202,0,0,0.0037503169396423774
2013-11-24T23:00:00Z,0.8203,0.8203,0.8203,0.8203,0,0,0.003489580015382207
2013-11-25T23:00:00Z,0.8188,0.8188,0.8188,0.8188,0,0,0.0033474671571406254
2013-11-26T23:00:00Z,0.8145,0.8145,0.8145,0.8145,0,0,0.0034155052173448644
2013-11-28T23:00:00Z,0.8165,0.8165,0.8165,0.8165,0,0,0.0033143977018202314
2013-12-01T23:00:00Z,0.8157,0.8157,0.8157,0.8157,0,0,0.003134797865975931
2013-12-02T23:00:00Z,0.8193,0.8193,0.8193,0.8193,0,0,0.0031680265898347965
2013-12-03T23:00:00Z,0.8105,0.8105,0.8105,0.8105,0,0,0.0035703104048465987
2013-12-04T23:00:00Z,0.8144,0.8144,0.8144,0.8144,0,0,0.0035938596616432715
2013-12-05T23:00:00Z,0.8182,0.8182,0.8182,0.8182,0,0,0.003608583971525897
2013-12-08T23:00:00Z,0.8192,0.8192,0.8192,0.8192,0,0,0.003422256544988333
2013-12-09T23:00:00Z,0.8226,0.8226,0.8226,0.8226,0,0,0.0034206667917748776
2013-12-10T23:00:00Z,0.8138,0.8138,0.8138,0.8138,0,0,0.0038049048780766743
2013-12-11T23:00:00Z,0.8064,0.8064,0.8064,0.8064,0,0,0.004061697386785481
2013-12-12T23:00:00Z,0.8121,0.8121,0.8121,0.8121,0,0,0.004178719002015092
2013-12-15T23:00:00Z,0.8092,0.8092,0.8092,0.8092,0,0,0.004087381930442587
2013-12-16T23:00:00Z,0.805,0.805,0.805,0.805,0,0,0.004095426078268115
2013-12-17T23:00:00Z,0.8043,0.8043,0.8043,0.8043,0,0,0.0038528956441061094
